campaign_id,campaign_name,description,campaign_goal,target_audience_criteria,overall_start_date,overall_end_date,campaign_status,overall_budget,total_campaign_cost_planned,total_campaign_cost_actual,cost_per_piece_planned,cost_per_piece_actual,printing_cost_actual,postage_cost_actual,data_cost_actual,other_costs_actual,cell_no,cell_description,assigned_creative_id,assigned_offer_code,campaign_total_mailed,campaign_total_responses,campaign_total_conversions,campaign_total_conversion_value,mail_drop_id,mailing_week_start_date,planned_send_date,actual_send_date,total_pieces_sent_this_week,total_campaign_pieces_sent,total_campaign_responses,overall_response_rate,total_campaign_conversions,overall_conversion_rate,total_campaign_conversion_value,average_conversion_value,campaign_roi
CAM0001,Holiday Campaign 2025-09,Marketing initiative focused on cross-selling campaign through targeted messaging and offers,Drive customer acquisition,Students in Suburban regions who are Inactive customers,2025-09-19,2025-11-06,Planned,55605.349351061996,48566.155312252,51943.00859839333,1.3497347371533543,1.4435831415261333,16188.235633116794,26728.730268697956,4007.4577458789527,5018.584950699629,Y3,Target segment Premium,CRs3c2O7,OFFEXPT,35982,1214,121,23706.839116918567,MDZMXVYg5B,2025-09-19,2025-09-20,2025-09-29,35982,35982,1214,3.38,121,10.04,23706.84,195.92,-54.36
CAM0002,Fall Campaign 2025-05,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Cross-selling campaign,Families in Suburban regions who are Recent purchasers,2025-05-15,2025-10-10,Planned,29775.21843174704,24442.099970361058,26931.49401943137,5.78922310998604,6.3788474702584965,11480.378763927773,14583.119645438232,702.2693970034206,165.72621306195077,A5,Target segment Value,CRZzoF2B,OFFL0H0,4222,633,221,24398.556957729856,MDzl3aQHvU,2025-05-15,2025-05-21,2025-05-17,4222,4222,633,14.99,221,34.97,24398.56,110.4,-9.41
CAM0003,Holiday Campaign 2024-07,Marketing initiative focused on seasonal promotion through targeted messaging and offers,Drive customer acquisition,Young professionals in Metropolitan zones who are High-value customers,2024-07-15,2024-08-19,Completed,39736.40489642581,34871.38733640101,29094.04868216989,9.839556246162813,8.209381682327848,5321.5735420780775,14838.382949294259,5641.260781556976,3292.8314092405767,O1,Target segment Standard,CRjfnVa1,OFF8rbS,3544,308,31,19517.738704172403,MD1lw1I09R,2024-07-15,2024-07-16,2024-07-24,3544,3544,308,8.69,31,10.15,19517.74,629.6,-32.92
CAM0004,Special Campaign 2024-07,Marketing initiative focused on brand loyalty program through targeted messaging and offers,Cross-selling campaign,Young professionals in Urban areas who are High-value customers,2024-07-01,2024-12-20,Completed,44624.52977056939,41700.28008733304,34499.50095801731,3.0211026651693866,2.499420485258082,16357.434044382186,11336.605992037066,3654.790687268962,3150.6702343290863,L7,Target segment Test,CRpGkit0,OFFJF7d,13803,1390,385,119378.53149306192,MDg5U4Ras6,2024-07-01,2024-07-02,2024-07-02,13803,13803,1390,10.07,385,27.77,119378.53,310.07,246.03
CAM0005,Fall Campaign 2025-02,Marketing initiative focused on brand loyalty program through targeted messaging and offers,Customer feedback initiative,Business owners in Metropolitan zones who are Inactive customers,2025-02-20,2025-06-03,Active,24060.529549309154,19606.745938585515,15652.423488423192,0.4627506711962595,0.36942231504421036,3293.442961892796,7912.936678204021,2875.6160797803673,1570.4277685460072,V5,Target segment Value,CRBtWXGF,OFFsN4b,42370,1930,717,703109.6498477976,MDK6gOzyUs,2025-02-20,2025-02-22,2025-03-02,42370,42370,1930,4.56,717,37.17,703109.65,980.63,4392.02
CAM0006,Holiday Campaign 2024-05,Marketing initiative focused on seasonal promotion through targeted messaging and offers,Customer feedback initiative,Seniors in Metropolitan zones who are High-value customers,2024-05-23,2024-10-26,Completed,49204.12340503747,39803.31625354151,32936.443169830716,1.430641803376519,1.1838273010506333,1357.135778647634,22223.182955236003,8779.429484213364,576.6949517337143,T3,Target segment Test,CRlde08S,OFFaiaR,27822,2675,532,135376.19341794262,MD7IYERUIA,2024-05-23,2024-05-26,2024-05-24,27822,27822,2675,9.62,532,19.9,135376.19,254.47,311.02
CAM0007,Spring Campaign 2024-03,Marketing initiative focused on brand loyalty program through targeted messaging and offers,Customer feedback initiative,Young professionals in Metropolitan zones who are Frequent shoppers,2024-03-10,2024-05-08,Completed,15914.581447415812,13059.716538883906,13731.827150581126,0.4933221221200433,0.5187106542734532,2150.7181863343794,8306.371747534964,2444.772293360743,829.9649233510415,F5,Target segment Value,CRcOMrxI,OFFdgag,26473,3076,241,57208.76147820523,MDK7CLZlMD,2024-03-10,2024-03-14,2024-03-13,26473,26473,3076,11.62,241,7.86,57208.76,237.38,316.61
CAM0008,Special Campaign 2023-06,Marketing initiative focused on customer reactivation through targeted messaging and offers,Boost customer retention,Seniors in Suburban regions who are Inactive customers,2023-06-07,2023-07-26,Completed,19496.45925275196,15827.638946927562,13571.077052660927,0.5817060144410879,0.49877162162008626,4900.931586003765,4158.808509630042,2620.2198320327548,1891.1171249943654,X2,Target segment Value,CRKq3SEg,OFFCfNY,27209,4057,1217,1172208.351413651,MDLe5FCXxf,2023-06-07,2023-06-13,2023-06-15,27209,27209,4057,14.91,1217,30.01,1172208.35,963.2,8537.55
CAM0009,Fall Campaign 2023-11,Marketing initiative focused on customer reactivation through targeted messaging and offers,Seasonal promotion,Young professionals in Metropolitan zones who are Recent purchasers,2023-11-28,2024-01-29,Completed,17467.860136963238,16428.890086360338,13348.84578613506,0.47562069614846675,0.3864526022272903,5709.81224670803,6071.004182628093,1077.7406080441997,490.288748754738,D1,Target segment Test,CRtgikwf,OFFZcR6,34542,1558,520,507568.0834802108,MDBBiYharD,2023-11-28,2023-11-30,2023-12-05,34542,34542,1558,4.51,520,33.44,507568.08,976.09,3702.34
CAM0010,Winter Campaign 2025-01,Marketing initiative focused on boost customer retention through targeted messaging and offers,Customer reactivation,Students in Rural communities who are Inactive customers,2025-01-09,2025-06-28,Active,13734.457906845451,11762.69884585238,11686.618756467717,0.2515063149918189,0.24987959452773667,1067.7364638669228,9983.700411202877,371.76070499260464,263.42117640531256,M4,Target segment Premium,CRECB8qd,OFFCLGN,46769,6263,760,530171.0475164982,MDLAQ51EdQ,2025-01-09,2025-01-13,2025-01-17,46769,46769,6263,13.39,760,12.15,530171.05,697.59,4436.56
